

(Table XV)	Centrality  0- 5%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
 0.219      |   5.665 |  11.902 | \pm  0.031    |  83.50 |  64.86 | \pm  5.15   | 0.90         | 25.4  | \pm  3.27   | \pm  3.46   | \pm  7.01   
 0.197      |   4.110 |  10.728 | \pm  0.029    |  81.20 |  63.31 | \pm  5.36   | 0.88         | 23.7  | \pm  2.47   | \pm  3.88   | \pm  7.06   
 0.175      |   2.547 |   9.540 | \pm  0.024    |  79.16 |  61.58 | \pm  4.86   | 0.93         | 21.9  | \pm  2.06   | \pm  3.41   | \pm  6.28   
 0.153      |   0.977 |   8.337 | \pm  0.022    |  73.67 |  57.42 | \pm  4.99   | 0.91         | 19.8  | \pm  1.63   | \pm  3.89   | \pm  6.53   
 0.131      |   9.409 |   7.133 | \pm  0.018    |  67.77 |  52.73 | \pm  4.44   | 0.83         | 17.8  | \pm  2.00   | \pm  3.98   | \pm  6.29   
 0.109      |   7.840 |   5.924 | \pm  0.015    |  61.02 |  47.54 | \pm  4.01   | 0.74         | 15.6  | \pm  1.99   | \pm  4.09   | \pm  6.06   
 0.087      |   6.271 |   4.713 | \pm  0.012    |  54.47 |  42.05 | \pm  3.54   | 0.63         | 13.4  | \pm  1.64   | \pm  3.81   | \pm  5.46   
 0.066      |   4.734 |   3.678 | \pm  0.009    |  47.73 |  35.64 | \pm  3.59   | 0.58         | 11.3  | \pm  2.06   | \pm  3.33   | \pm  5.31   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XIX)	Centrality 20-25%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
