pp
2-3 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    3.83     0.0121     0.000968
    4.12     0.00579     0.000593
    4.52     0.00175     0.000544
5-10 #otimes 3-4 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     0.000658     0.000306
    -1.13     0.000461     0.00021
    -0.83     0.00038     0.000168
    -0.54     0.00174     0.000263
    -0.29     0.00995     0.000707
    -0.15     0.0341     0.00202
    -0.05     0.0541     0.0027
    0.05     0.0507     0.00252
    0.15     0.0321     0.00192
    0.29     0.0102     0.000755
    0.54     0.002     0.000305
    0.83     0.000633     0.000221
    1.13     0.000462     0.000235
    1.42     -1.5e-05     0.000192
    1.77     0.000558     0.000236
    2.16     0.00141     0.000261
    2.45     0.00279     0.000445
    2.65     0.00639     0.000613
    2.85     0.0109     0.000797
    3.04     0.0165     0.000976
    3.24     0.0182     0.00101
    3.44     0.0108     0.000771
    3.63     0.00596     0.000595
    3.83     0.00321     0.000471
    4.12     0.00167     0.000279
    4.52     0.000494     0.000227
5-10 #otimes 4-5 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     0.000103     0.000119
    -1.13     6.5e-05     7.52e-05
    -0.83     7.99e-05     7.26e-05
    -0.54     0.000411     0.000122
    -0.29     0.00333     0.000413
    -0.15     0.0147     0.00158
    -0.05     0.0227     0.00217
    0.05     0.0218     0.00199
    0.15     0.0135     0.0015
    0.29     0.00393     0.000488
    0.54     0.00058     0.000153
    0.83     0.000246     0.000129
    1.13     2.11e-06     6.65e-05
    1.42     2.03e-05     8.49e-05
    1.77     9.59e-05     9.33e-05
    2.16     0.000872     0.000193
    2.45     0.000647     0.000205
    2.65     0.00201     0.000359
    2.85     0.00475     0.000582
    3.04     0.00803     0.0008
    3.24     0.00761     0.000738
    3.44     0.00552     0.000636
    3.63     0.00314     0.000449
    3.83     0.00097     0.000244
    4.12     0.000496     0.000145
    4.52     0.00011     0.000101
5-10 #otimes 5-10 GeV/c
Deltaphi  dN/dDeltaphi  stat.
    -1.42     5.04e-05     9.83e-05
    -1.13     4.59e-07     4.78e-05
    -0.83     5.41e-05     5.89e-05
    -0.54     0.000369     0.000115
    -0.29     0.00254     0.000375
    -0.15     0.0113     0.00142
    -0.05     0.0291     0.00312
    0.05     0.0283     0.003
    0.15     0.0124     0.00155
    0.29     0.0019     0.00032
    0.54     0.000424     0.000135
    0.83     0.000244     0.000133
    1.13     -4.72e-05     0
    1.42     4.76e-05     9.55e-05
    1.77     0.000121     9.83e-05
    2.16     0.000435     0.000138
    2.45     0.0013     0.0003
    2.65     0.00243     0.000426
    2.85     0.00524     0.000634
    3.04     0.00982     0.00103
    3.24     0.00805     0.000818
    3.44     0.00479     0.000562
    3.63     0.00184     0.000319
    3.83     0.000904     0.000247
    4.12     0.00034     0.000107
    4.52     4.73e-05     6.73e-05
