20 - 40 %
2-3 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    3.04     0.000178     8.4e-05      -4.89e-05     4.52e-05
    3.24     0.00049     8.74e-05      -4.89e-05     4.52e-05
    3.44     0.000379     8.75e-05      -4.29e-05     3.98e-05
    3.63     0.000332     8.89e-05      -3.26e-05     3.03e-05
    3.83     9.07e-05     9.26e-05      -2.04e-05     1.91e-05
    4.12     0.000247     7.64e-05      -4.09e-06     3.91e-06
    4.52     9.14e-05     9.57e-05      7.51e-06     -7.33e-06
3-4 #otimes 5-10 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     2.79e-05     9.98e-05      4.69e-06     -4.57e-06
    -1.13     6.36e-05     8.19e-05      1e-06     -9.61e-07
    -0.83     -5.96e-05     6.48e-05      -6.56e-06     6.2e-06
    -0.54     0.000119     5.95e-05      -1.65e-05     1.54e-05
    -0.29     0.00047     7.04e-05      -2.38e-05     2.21e-05
    -0.15     0.00164     0.000112      -2.66e-05     2.45e-05
    -0.05     0.00231     0.000119      -2.74e-05     2.53e-05
    0.05     0.00229     0.000117      -2.74e-05     2.53e-05
    0.15     0.00151     0.000109      -2.66e-05     2.45e-05
    0.29     0.000399     6.77e-05      -2.38e-05     2.21e-05
    0.54     0.000168     5.76e-05      -1.65e-05     1.54e-05
    0.83     -8.51e-05     6e-05      -6.56e-06     6.2e-06
    1.13     0.000169     7.61e-05      1e-06     -9.61e-07
    1.42     3.25e-05     9.69e-05      4.69e-06     -4.57e-06
    1.77     8.23e-05     7.9e-05      4.35e-06     -4.22e-06
    2.16     9.1e-05     6.2e-05      -2.33e-06     2.22e-06
    2.45     6.56e-05     7.7e-05      -1.14e-05     1.07e-05
    2.65     0.000128     7.16e-05      -1.82e-05     1.69e-05
    2.85     0.000238     7.15e-05      -2.38e-05     2.21e-05
    3.04     0.000308     7.1e-05      -2.71e-05     2.5e-05
    3.24     0.000204     6.96e-05      -2.71e-05     2.5e-05
    3.44     0.000151     7.05e-05      -2.38e-05     2.21e-05
    3.63     0.000225     7.29e-05      -1.82e-05     1.69e-05
    3.83     4.51e-05     7.43e-05      -1.14e-05     1.07e-05
    4.12     -2.36e-05     5.77e-05      -2.33e-06     2.22e-06
    4.52     2.56e-05     7.51e-05      4.35e-06     -4.22e-06
4-5 #otimes 0.4-1 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.0358     0.0148      0.0208     -0.0105
    -1.13     0.00911     0.014      0.0121     -0.00212
    -0.83     0.011     0.0119      -0.00362     0.0128
    -0.54     0.0837     0.0103      -0.0218     0.0299
    -0.29     0.21     0.0122      -0.034     0.0413
    -0.15     0.241     0.0172      -0.0384     0.0454
    -0.05     0.252     0.0171      -0.0398     0.0467
    0.05     0.262     0.0171      -0.0398     0.0467
    0.15     0.212     0.017      -0.0384     0.0454
    0.29     0.182     0.0121      -0.034     0.0413
    0.54     0.0962     0.0104      -0.0218     0.0299
    0.83     0.000493     0.0121      -0.00362     0.0128
    1.13     0.0107     0.0141      0.0121     -0.00212
    1.42     0.054     0.0151      0.0208     -0.0105
    1.77     0.0847     0.0135      0.02     -0.0097
    2.16     0.157     0.0114      0.00487     0.00474
    2.45     0.151     0.0145      -0.0128     0.0214
    2.65     0.144     0.0138      -0.0246     0.0325
    2.85     0.148     0.0131      -0.034     0.0413
    3.04     0.148     0.0127      -0.0393     0.0462
    3.24     0.135     0.0127      -0.0393     0.0462
    3.44     0.177     0.0131      -0.034     0.0413
    3.63     0.199     0.0136      -0.0246     0.0325
    3.83     0.176     0.0141      -0.0128     0.0214
    4.12     0.161     0.0111      0.00487     0.00474
    4.52     0.114     0.013      0.02     -0.0097
4-5 #otimes 1-2 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.0211     0.00868      0.00987     -0.00484
    -1.13     0.0106     0.00711      0.00602     -0.00103
    -0.83     -0.000795     0.00593      -0.00145     0.00617
    -0.54     0.053     0.00513      -0.0108     0.015
    -0.29     0.151     0.00581      -0.0175     0.0213
    -0.15     0.222     0.008      -0.02     0.0235
    -0.05     0.232     0.00801      -0.0207     0.0243
    0.05     0.221     0.00805      -0.0207     0.0243
    0.15     0.227     0.0081      -0.02     0.0235
    0.29     0.138     0.00581      -0.0175     0.0213
    0.54     0.0592     0.00519      -0.0108     0.015
    0.83     0.00283     0.00592      -0.00145     0.00617
    1.13     0.00287     0.00722      0.00602     -0.00103
    1.42     0.0138     0.00902      0.00987     -0.00484
    1.77     0.0525     0.00734      0.0095     -0.00446
    2.16     0.0669     0.00565      0.00268     0.00221
    2.45     0.0711     0.00687      -0.00608     0.0106
    2.65     0.062     0.0065      -0.0123     0.0164
    2.85     0.0572     0.00626      -0.0175     0.0213
    3.04     0.0452     0.00615      -0.0204     0.024
    3.24     0.0521     0.00614      -0.0204     0.024
    3.44     0.0522     0.00615      -0.0175     0.0213
    3.63     0.0641     0.00647      -0.0123     0.0164
    3.83     0.0678     0.00677      -0.00608     0.0106
    4.12     0.0752     0.00558      0.00268     0.00221
    4.52     0.0587     0.00713      0.0095     -0.00446
4-5 #otimes 2-3 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     4.13e-05     0.00244      0.000497     -0.000486
    -1.13     -0.000187     0.00192      0.000107     -0.000103
    -0.83     -0.00166     0.00159      -0.000706     0.000669
    -0.54     0.0103     0.00143      -0.00179     0.00167
    -0.29     0.0328     0.00165      -0.0026     0.00241
    -0.15     0.0558     0.00235      -0.0029     0.00268
    -0.05     0.0609     0.00232      -0.003     0.00277
    0.05     0.0604     0.00233      -0.003     0.00277
    0.15     0.052     0.00236      -0.0029     0.00268
    0.29     0.0312     0.00167      -0.0026     0.00241
    0.54     0.0129     0.00144      -0.00179     0.00167
    0.83     0.00185     0.0016      -0.000706     0.000669
    1.13     -0.000781     0.00196      0.000107     -0.000103
    1.42     0.00731     0.00259      0.000497     -0.000486
    1.77     0.00749     0.00201      0.000461     -0.000449
    2.16     0.00657     0.00153      -0.000249     0.000238
    2.45     0.0075     0.00188      -0.00124     0.00116
    2.65     0.00344     0.00174      -0.00197     0.00184
    2.85     0.0103     0.00172      -0.0026     0.00241
    3.04     0.00537     0.00169      -0.00296     0.00273
    3.24     0.00551     0.00168      -0.00296     0.00273
    3.44     0.00576     0.00169      -0.0026     0.00241
    3.63     0.00964     0.00176      -0.00197     0.00184
    3.83     0.00909     0.00189      -0.00124     0.00116
    4.12     0.0074     0.00153      -0.000249     0.000238
    4.52     0.00396     0.00196      0.000461     -0.000449
4-5 #otimes 3-4 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.000914     0.000848      -2.78e-06     2.76e-06
    -1.13     -0.000444     0.000628      -4.47e-05     4.37e-05
    -0.83     0.000789     0.000537      -0.000132     0.000127
    -0.54     0.00177     0.000495      -0.00025     0.000235
    -0.29     0.00651     0.000602      -0.000338     0.000314
    -0.15     0.0167     0.000949      -0.000371     0.000344
    -0.05     0.0222     0.000972      -0.000381     0.000353
    0.05     0.0225     0.000981      -0.000381     0.000353
    0.15     0.016     0.000952      -0.000371     0.000344
    0.29     0.0071     0.000622      -0.000338     0.000314
    0.54     0.00236     0.000516      -0.00025     0.000235
    0.83     0.000631     0.000566      -0.000132     0.000127
    1.13     0.0025     0.00072      -4.47e-05     4.37e-05
    1.42     0.00038     0.00086      -2.78e-06     2.76e-06
    1.77     0.000916     0.000664      -6.71e-06     6.65e-06
    2.16     0.00206     0.000528      -8.31e-05     8.03e-05
    2.45     0.00139     0.000652      -0.00019     0.00018
    2.65     0.00259     0.000627      -0.00027     0.000253
    2.85     0.003     0.00062      -0.000338     0.000314
    3.04     0.00295     0.000606      -0.000377     0.00035
    3.24     0.00182     0.00059      -0.000377     0.00035
    3.44     0.00181     0.000597      -0.000338     0.000314
    3.63     0.0022     0.000622      -0.00027     0.000253
    3.83     0.00162     0.000664      -0.00019     0.00018
    4.12     0.000649     0.000518      -8.31e-05     8.03e-05
    4.52     0.00134     0.000674      -6.7e-06     6.65e-06
4-5 #otimes 4-5 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     -0.000114     0.000309      -3.84e-07     3.79e-07
    -1.13     0.000262     0.000249      -6.1e-06     5.93e-06
    -0.83     0.000437     0.000212      -1.77e-05     1.69e-05
    -0.54     0.000494     0.000191      -3.3e-05     3.1e-05
    -0.29     0.00168     0.000248      -4.42e-05     4.12e-05
    -0.15     0.00598     0.000455      -4.84e-05     4.5e-05
    -0.05     0.00858     0.000504      -4.97e-05     4.61e-05
    0.05     0.00866     0.000505      -4.97e-05     4.61e-05
    0.15     0.00635     0.000473      -4.84e-05     4.5e-05
    0.29     0.00157     0.000247      -4.42e-05     4.12e-05
    0.54     0.000491     0.000198      -3.3e-05     3.1e-05
    0.83     0.000421     0.00022      -1.77e-05     1.69e-05
    1.13     0.000238     0.000263      -6.1e-06     5.93e-06
    1.42     -1.73e-05     0.00032      -3.84e-07     3.79e-07
    1.77     0.000741     0.000275      -9.25e-07     9.11e-07
    2.16     -7.5e-05     0.000186      -1.12e-05     1.08e-05
    2.45     0.000584     0.000256      -2.52e-05     2.39e-05
    2.65     0.00108     0.000257      -3.55e-05     3.33e-05
    2.85     0.0012     0.000257      -4.42e-05     4.12e-05
    3.04     0.00151     0.000261      -4.92e-05     4.57e-05
    3.24     0.0014     0.000255      -4.92e-05     4.57e-05
    3.44     0.00113     0.000249      -4.42e-05     4.12e-05
    3.63     0.00103     0.000255      -3.55e-05     3.33e-05
    3.83     0.000788     0.00027      -2.52e-05     2.39e-05
    4.12     -1.41e-05     0.000192      -1.12e-05     1.08e-05
    4.52     0.000642     0.000271      -9.25e-07     9.11e-07
4-5 #otimes 5-10 GeV/c
Deltaphi  dN/dDeltaphi  stat.   V2_upper(red)  V2_lower (blue)
    -1.42     0.000386     0.000308      -2.59e-07     2.53e-07
    -1.13     -6.36e-05     0.000218      -4.06e-06     3.93e-06
    -0.83     -6.11e-05     0.000173      -1.16e-05     1.11e-05
    -0.54     -0.000128     0.000154      -2.14e-05     2.01e-05
